Cache,Rating,Type,Container type,Latitude,Longitude,Hint,Location,Notes
Falling What?,1.5/1.5,Reg,Magnetic nano,N 040-10.265,W 082-18.621,n/a,Entrance Drive,
On Belay,,Gadget,Waterproof Canister,N 040-10.347,W 082-18.585,n/a,Climbing Tower,
I See You,,Reg,Small Canister,N 040-10.460,W 082-18.578,n/a,Pines,
Missy's Garden,,Reg,"Small ""other""",N 040-10.499,W 082-18.555,n/a,Legend,
I Didn't Know That,,Reg/Gadget?,Ammo Box,N 040-10.496,W 082-18.541,Camp Origin,Legend,not yet placed
In Plain Sight,,Reg,"""Other""",N 040-10.473,W 082-18.485,n/a,Pool,
Exit Stage Left,,Reg,Waterproof Canister,N 040-10.311,W 082-18.310,n/a,Broken Ax,
Tattoo Says,,Reg,Ammo Box,N 040-10.459,W 082-18.190,De Plane!,Plane,
Precipice,,Reg,Waterproof Canister,N 040-10.585,W 082-18.123,Billy Goat Walk,"""Above"" Lower camp/motor pool",
Troll Lives Here,,Reg,Small Cannister,N 040-10.590,W 082-18.200,n/a,Adirondacs,
How Many?,,Reg,Small Canister,N 040-10.647,W 082-18.131,n/a,Lower Camp,
Tight Fit,,Reg,Small Canister,N 040-10.,W 082-18.,naturally ,Lemon Squeeze,not yet placed
Say  A Little Prayer,,Reg,Small Canister,N 040-10.703,W 082-18.173,n/a,Chapel,
I Spy,,Gadget,Waterproof box,N 040-10.694,W 082-18.130,look,Lakefront,
Woody Woodpecker,,Reg,"""Other""",N 040-10.819,W 082-18.184,n/a,Franklin,
Ribbitt !!,,Reg,,N 040-10.443,W 082-18.406,n/a,Frog Pond,not yet placed 
CFR Legacy,,Reg,,N 040-10.559,W 082-18.367,n/a,Serendipity,not yet placed
Soar ,,Multi,,N 040-10.,W 082-18.,n/a,Eagles Nest/OA,proposed
?,,Reg/Gadget,,N 040-10.,W 082-18.,,Foxfire Trail,proposed
Who Knew ?,,Adventure Lab,,N 040-10.,W 082-18.,n/a,Campwide,proposed